tanggal,kota,kategori,order_count,gross_sales,discount,net_sales
2026-01-01,Jakarta,Elektronik,22,751740,0,751740
2026-01-01,Jakarta,Fashion,19,596961,0,596961
2026-01-01,Jakarta,ATK,15,416265,0,416265
2026-01-01,Jakarta,Makanan,19,596961,0,596961
2026-01-01,Jakarta,Kesehatan,21,698313,0,698313
2026-01-01,Bandung,Elektronik,22,751740,0,751740
2026-01-01,Bandung,Fashion,19,596961,0,596961
2026-01-01,Bandung,ATK,15,416265,0,416265
2026-01-01,Bandung,Makanan,19,596961,0,596961
2026-01-01,Bandung,Kesehatan,21,698313,0,698313
2026-01-01,Surabaya,Elektronik,23,785910,0,785910
2026-01-01,Surabaya,Fashion,20,628380,0,628380
2026-01-01,Surabaya,ATK,16,444016,0,444016
2026-01-01,Surabaya,Makanan,20,628380,0,628380
2026-01-01,Surabaya,Kesehatan,22,731566,0,731566
2026-01-01,Medan,Elektronik,20,683400,0,683400
2026-01-01,Medan,Fashion,17,534123,0,534123
2026-01-01,Medan,ATK,13,360763,0,360763
2026-01-01,Medan,Makanan,17,534123,0,534123
2026-01-01,Medan,Kesehatan,19,631807,0,631807
2026-01-01,Makassar,Elektronik,23,785910,0,785910
2026-01-01,Makassar,Fashion,20,628380,0,628380
2026-01-01,Makassar,ATK,16,444016,0,444016
2026-01-01,Makassar,Makanan,20,628380,0,628380
2026-01-01,Makassar,Kesehatan,22,731566,0,731566
2026-01-02,Jakarta,Elektronik,25,877175,8771,868404
2026-01-02,Jakarta,Fashion,22,711392,7113,704279
2026-01-02,Jakarta,ATK,18,516024,5160,510864
2026-01-02,Jakarta,Makanan,22,711392,7113,704279
2026-01-02,Jakarta,Kesehatan,24,820080,8200,811880
2026-01-02,Bandung,Elektronik,25,877175,8771,868404
2026-01-02,Bandung,Fashion,22,711392,7113,704279
2026-01-02,Bandung,ATK,18,516024,5160,510864
2026-01-02,Bandung,Makanan,22,711392,7113,704279
2026-01-02,Bandung,Kesehatan,24,820080,8200,811880
2026-01-02,Surabaya,Elektronik,26,912262,9122,903140
2026-01-02,Surabaya,Fashion,23,743728,7437,736291
2026-01-02,Surabaya,ATK,19,544692,5446,539246
2026-01-02,Surabaya,Makanan,23,743728,7437,736291
2026-01-02,Surabaya,Kesehatan,25,854250,8542,845708
2026-01-02,Medan,Elektronik,23,807001,8070,798931
2026-01-02,Medan,Fashion,20,646720,6467,640253
2026-01-02,Medan,ATK,16,458688,4586,454102
2026-01-02,Medan,Makanan,20,646720,6467,640253
2026-01-02,Medan,Kesehatan,22,751740,7517,744223
2026-01-02,Makassar,Elektronik,26,912262,9122,903140
2026-01-02,Makassar,Fashion,23,743728,7437,736291
2026-01-02,Makassar,ATK,19,544692,5446,539246
2026-01-02,Makassar,Makanan,23,743728,7437,736291
2026-01-02,Makassar,Kesehatan,25,854250,8542,845708
2026-01-03,Jakarta,Elektronik,28,1008112,20162,987950
2026-01-03,Jakarta,Fashion,25,831325,16626,814699
2026-01-03,Jakarta,ATK,21,621285,12425,608860
2026-01-03,Jakarta,Makanan,25,831325,16626,814699
2026-01-03,Jakarta,Kesehatan,27,947349,18946,928403
2026-01-03,Bandung,Elektronik,28,1008112,20162,987950
2026-01-03,Bandung,Fashion,25,831325,16626,814699
2026-01-03,Bandung,ATK,21,621285,12425,608860
2026-01-03,Bandung,Makanan,25,831325,16626,814699
2026-01-03,Bandung,Kesehatan,27,947349,18946,928403
2026-01-03,Surabaya,Elektronik,29,1044116,20882,1023234
2026-01-03,Surabaya,Fashion,26,864578,17291,847287
2026-01-03,Surabaya,ATK,22,650870,13017,637853
2026-01-03,Surabaya,Makanan,26,864578,17291,847287
2026-01-03,Surabaya,Kesehatan,28,982436,19648,962788
2026-01-03,Medan,Elektronik,26,936104,18722,917382
2026-01-03,Medan,Fashion,23,764819,15296,749523
2026-01-03,Medan,ATK,19,562115,11242,550873
2026-01-03,Medan,Makanan,23,764819,15296,749523
2026-01-03,Medan,Kesehatan,25,877175,17543,859632
