pelanggan_id,nama,kota,level,tanggal_daftar,email_opt_in
1,Pelanggan 0001,Bandung,Silver,2024-01-02,Y
2,Pelanggan 0002,Surabaya,Gold,2024-01-03,Y
3,Pelanggan 0003,Medan,Platinum,2024-01-04,Y
4,Pelanggan 0004,Makassar,Bronze,2024-01-05,N
5,Pelanggan 0005,Semarang,Silver,2024-01-06,Y
6,Pelanggan 0006,Yogyakarta,Gold,2024-01-07,Y
7,Pelanggan 0007,Denpasar,Platinum,2024-01-08,Y
8,Pelanggan 0008,Palembang,Bronze,2024-01-09,N
9,Pelanggan 0009,Balikpapan,Silver,2024-01-10,Y
10,Pelanggan 0010,Jakarta,Gold,2024-01-11,Y
11,Pelanggan 0011,Bandung,Platinum,2024-01-12,Y
12,Pelanggan 0012,Surabaya,Bronze,2024-01-13,N
13,Pelanggan 0013,Medan,Silver,2024-01-14,Y
14,Pelanggan 0014,Makassar,Gold,2024-01-15,Y
15,Pelanggan 0015,Semarang,Platinum,2024-01-16,Y
16,Pelanggan 0016,Yogyakarta,Bronze,2024-01-17,N
17,Pelanggan 0017,Denpasar,Silver,2024-01-18,Y
18,Pelanggan 0018,Palembang,Gold,2024-01-19,Y
19,Pelanggan 0019,Balikpapan,Platinum,2024-01-20,Y
20,Pelanggan 0020,Jakarta,Bronze,2024-01-21,N
21,Pelanggan 0021,Bandung,Silver,2024-01-22,Y
22,Pelanggan 0022,Surabaya,Gold,2024-01-23,Y
23,Pelanggan 0023,Medan,Platinum,2024-01-24,Y
24,Pelanggan 0024,Makassar,Bronze,2024-01-25,N
25,Pelanggan 0025,Semarang,Silver,2024-01-26,Y
26,Pelanggan 0026,Yogyakarta,Gold,2024-01-27,Y
27,Pelanggan 0027,Denpasar,Platinum,2024-01-28,Y
28,Pelanggan 0028,Palembang,Bronze,2024-01-29,N
29,Pelanggan 0029,Balikpapan,Silver,2024-01-30,Y
30,Pelanggan 0030,Jakarta,Gold,2024-01-31,Y
31,Pelanggan 0031,Bandung,Platinum,2024-02-01,Y
32,Pelanggan 0032,Surabaya,Bronze,2024-02-02,N
33,Pelanggan 0033,Medan,Silver,2024-02-03,Y
34,Pelanggan 0034,Makassar,Gold,2024-02-04,Y
35,Pelanggan 0035,Semarang,Platinum,2024-02-05,Y
36,Pelanggan 0036,Yogyakarta,Bronze,2024-02-06,N
37,Pelanggan 0037,Denpasar,Silver,2024-02-07,Y
38,Pelanggan 0038,Palembang,Gold,2024-02-08,Y
39,Pelanggan 0039,Balikpapan,Platinum,2024-02-09,Y
40,Pelanggan 0040,Jakarta,Bronze,2024-02-10,N
41,Pelanggan 0041,Bandung,Silver,2024-02-11,Y
