produk_id,sku,nama_produk,kategori,harga,stok,supplier,aktif
1,SKU00001,Produk Simulasi 1,Rumah Tangga,5137,17,Cipta Grosir,Y
2,SKU00002,Produk Simulasi 2,Fashion,5274,34,Sinar Distribusi,Y
3,SKU00003,Produk Simulasi 3,ATK,5411,51,Mitra Dagang,Y
4,SKU00004,Produk Simulasi 4,Makanan,5548,68,Global Retail,Y
5,SKU00005,Produk Simulasi 5,Minuman,5685,85,Nusantara Supply,Y
6,SKU00006,Produk Simulasi 6,Kesehatan,5822,102,Cipta Grosir,Y
7,SKU00007,Produk Simulasi 7,Hobi,5959,119,Sinar Distribusi,Y
8,SKU00008,Produk Simulasi 8,Elektronik,6096,136,Mitra Dagang,Y
9,SKU00009,Produk Simulasi 9,Rumah Tangga,6233,153,Global Retail,Y
10,SKU00010,Produk Simulasi 10,Fashion,6370,170,Nusantara Supply,Y
11,SKU00011,Produk Simulasi 11,ATK,6507,187,Cipta Grosir,Y
12,SKU00012,Produk Simulasi 12,Makanan,6644,204,Sinar Distribusi,Y
13,SKU00013,Produk Simulasi 13,Minuman,6781,221,Mitra Dagang,N
14,SKU00014,Produk Simulasi 14,Kesehatan,6918,238,Global Retail,Y
15,SKU00015,Produk Simulasi 15,Hobi,7055,255,Nusantara Supply,Y
16,SKU00016,Produk Simulasi 16,Elektronik,7192,272,Cipta Grosir,Y
17,SKU00017,Produk Simulasi 17,Rumah Tangga,7329,289,Sinar Distribusi,Y
18,SKU00018,Produk Simulasi 18,Fashion,7466,306,Mitra Dagang,Y
19,SKU00019,Produk Simulasi 19,ATK,7603,323,Global Retail,Y
20,SKU00020,Produk Simulasi 20,Makanan,7740,340,Nusantara Supply,Y
21,SKU00021,Produk Simulasi 21,Minuman,7877,357,Cipta Grosir,Y
22,SKU00022,Produk Simulasi 22,Kesehatan,8014,374,Sinar Distribusi,Y
23,SKU00023,Produk Simulasi 23,Hobi,8151,391,Mitra Dagang,Y
24,SKU00024,Produk Simulasi 24,Elektronik,8288,408,Global Retail,Y
25,SKU00025,Produk Simulasi 25,Rumah Tangga,8425,425,Nusantara Supply,Y
26,SKU00026,Produk Simulasi 26,Fashion,8562,442,Cipta Grosir,N
27,SKU00027,Produk Simulasi 27,ATK,8699,459,Sinar Distribusi,Y
28,SKU00028,Produk Simulasi 28,Makanan,8836,476,Mitra Dagang,Y
